"IndicatorName","IndicatorCode"
"(%) Benefits held by 1st 20% population - All Social Insurance",allsi.bi_q1
"(%) Benefits held by 1st 20% population - All Social Protection",allsp.bi_q1
"(%) Benefits held by 1st 20% population - All Social Safety Nets",allsa.bi_q1
"(%) Benefits held by 1st 20% population - Unemp benefits and ALMP",lm_ub.bi_q1
"(%) Generosity of All Social Insurance",allsi.gen_pop
"(%) Generosity of All Social Protection",allsp.gen_pop
"(%) Generosity of All Social Safety Nets",allsa.gen_pop
"(%) Generosity of Unemp benefits and ALMP",lm_ub.gen_pop
"(%) Program participation - All Social Insurance",allsi.cov_pop
"(%) Program participation - All Social Protection",allsp.cov_pop
"(%) Program participation - All Social Safety Nets",allsa.cov_pop
"(%) Program participation - Unemp benefits and ALMP",lm_ub.cov_pop
"Access to electricity (% of population)",EG.ELC.ACCS.ZS
"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR
"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE
"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA
"Adjusted net national income (annual % growth)",NY.ADJ.NNTY.KD.ZG
"Adjusted net national income (constant 2005 US$)",NY.ADJ.NNTY.KD
"Adjusted net national income (current US$)",NY.ADJ.NNTY.CD
"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS
"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD
"Adjusted net savings, including particulate emission damage (% of GNI)",NY.ADJ.SVNG.GN.ZS
"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD
"Adjusted savings: carbon dioxide damage (% of GNI)",NY.ADJ.DCO2.GN.ZS
"Adjusted savings: carbon dioxide damage (current US$)",NY.ADJ.DCO2.CD
"Adjusted savings: consumption of fixed capital (% of GNI)",NY.ADJ.DKAP.GN.ZS
"Adjusted savings: consumption of fixed capital (current US$)",NY.ADJ.DKAP.CD
"Adjusted savings: education expenditure (% of GNI)",NY.ADJ.AEDU.GN.ZS
"Adjusted savings: education expenditure (current US$)",NY.ADJ.AEDU.CD
"Adjusted savings: energy depletion (% of GNI)",NY.ADJ.DNGY.GN.ZS
"Adjusted savings: energy depletion (current US$)",NY.ADJ.DNGY.CD
"Adjusted savings: gross savings (% of GNI)",NY.ADJ.ICTR.GN.ZS
"Adjusted savings: mineral depletion (% of GNI)",NY.ADJ.DMIN.GN.ZS
"Adjusted savings: mineral depletion (current US$)",NY.ADJ.DMIN.CD
"Adjusted savings: natural resources depletion (% of GNI)",NY.ADJ.DRES.GN.ZS
"Adjusted savings: net forest depletion (% of GNI)",NY.ADJ.DFOR.GN.ZS
"Adjusted savings: net forest depletion (current US$)",NY.ADJ.DFOR.CD
"Adjusted savings: net national savings (% of GNI)",NY.ADJ.NNAT.GN.ZS
"Adjusted savings: net national savings (current US$)",NY.ADJ.NNAT.CD
"Adjusted savings: particulate emission damage (% of GNI)",NY.ADJ.DPEM.GN.ZS
"Adjusted savings: particulate emission damage (current US$)",NY.ADJ.DPEM.CD
"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT
"Age dependency ratio (% of working-age population)",SP.POP.DPND
"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL
"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG
"Agricultural irrigated land (% of total agricultural land)",AG.LND.IRIG.AG.ZS
"Agricultural land (% of land area)",AG.LND.AGRI.ZS
"Agricultural land (sq. km)",AG.LND.AGRI.K2
"Agricultural machinery, tractors",AG.AGR.TRAC.NO
"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS
"Agricultural methane emissions (% of total)",EN.ATM.METH.AG.ZS
"Agricultural methane emissions (thousand metric tons of CO2 equivalent)",EN.ATM.METH.AG.KT.CE
"Agricultural nitrous oxide emissions (% of total)",EN.ATM.NOXE.AG.ZS
"Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent)",EN.ATM.NOXE.AG.KT.CE
"Agricultural raw materials exports (% of merchandise exports)",TX.VAL.AGRI.ZS.UN
"Agricultural raw materials imports (% of merchandise imports)",TM.VAL.AGRI.ZS.UN
"Agriculture value added per worker (constant 2005 US$)",EA.PRD.AGRI.KD
"Agriculture, value added (% of GDP)",NV.AGR.TOTL.ZS
"Agriculture, value added (annual % growth)",NV.AGR.TOTL.KD.ZG
"Agriculture, value added (constant 2005 US$)",NV.AGR.TOTL.KD
"Agriculture, value added (constant LCU)",NV.AGR.TOTL.KN
"Agriculture, value added (current LCU)",NV.AGR.TOTL.CN
"Agriculture, value added (current US$)",NV.AGR.TOTL.CD
"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1
"Air transport, passengers carried",IS.AIR.PSGR
"Air transport, registered carrier departures worldwide",IS.AIR.DPRT
"Alternative and nuclear energy (% of total energy use)",EG.USE.COMM.CL.ZS
"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS
"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal)",ER.H2O.FWDM.ZS
"Annual freshwater withdrawals, industry (% of total freshwater withdrawal)",ER.H2O.FWIN.ZS
"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3
"Antiretroviral therapy coverage (% of people with advanced HIV infection)",SH.HIV.ARTC.ZS
"Arable land (% of land area)",AG.LND.ARBL.ZS
"Arable land (hectares per person)",AG.LND.ARBL.HA.PC
"Arable land (hectares)",AG.LND.ARBL.HA
"ARI treatment (% of children under 5 taken to a health provider)",SH.STA.ARIC.ZS
"Armed forces personnel (% of total labor force)",MS.MIL.TOTL.TF.ZS
"Armed forces personnel, total",MS.MIL.TOTL.P1
"Arms exports (constant 1990 US$)",MS.MIL.XPRT.KD
"Arms imports (constant 1990 US$)",MS.MIL.MPRT.KD
"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5
"Average grace period on new external debt commitments (years)",DT.GPA.DPPG
"Average grace period on new external debt commitments, official (years)",DT.GPA.OFFT
"Average grace period on new external debt commitments, private (years)",DT.GPA.PRVT
"Average grant element on new external debt commitments (%)",DT.GRE.DPPG
"Average grant element on new external debt commitments, official (%)",DT.GRE.OFFT
"Average grant element on new external debt commitments, private (%)",DT.GRE.PRVT
"Average interest on new external debt commitments (%)",DT.INR.DPPG
"Average interest on new external debt commitments, official (%)",DT.INR.OFFT
"Average interest on new external debt commitments, private (%)",DT.INR.PRVT
"Average maturity on new external debt commitments (years)",DT.MAT.DPPG
"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT
"Average maturity on new external debt commitments, private (years)",DT.MAT.PRVT
"Average number of times firms spent in meetings with tax officials",IC.TAX.METG
"Average precipitation in depth (mm per year)",AG.LND.PRCP.MM
"Average time to clear exports through customs (days)",IC.CUS.DURS.EX
"Bank capital to assets ratio (%)",FB.BNK.CAPA.ZS
"Bank liquid reserves to bank assets ratio (%)",FD.RES.LIQU.AS.ZS
"Bank nonperforming loans to total gross loans (%)",FB.AST.NPER.ZS
"Battle-related deaths (number of people)",VC.BTL.DETH
"Binding coverage, all products (%)",TM.TAX.MRCH.BC.ZS
"Binding coverage, manufactured products (%)",TM.TAX.MANF.BC.ZS
"Binding coverage, primary products (%)",TM.TAX.TCOM.BC.ZS
"Bird species, threatened",EN.BIR.THRD.NO
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN
"Births attended by skilled health staff (% of total)",SH.STA.BRTC.ZS
"Borrowers from commercial banks (per 1,000 adults)",FB.CBK.BRWR.P3
"Bound rate, simple mean, all products (%)",TM.TAX.MRCH.BR.ZS
"Bound rate, simple mean, manufactured products (%)",TM.TAX.MANF.BR.ZS
"Bound rate, simple mean, primary products (%)",TM.TAX.TCOM.BR.ZS
"Broad money (% of GDP)",FM.LBL.BMNY.GD.ZS
"Broad money (current LCU)",FM.LBL.BMNY.CN
"Broad money growth (annual %)",FM.LBL.BMNY.ZG
"Broad money to total reserves ratio",FM.LBL.BMNY.IR.ZS
"Burden of customs procedure, WEF (1=extremely inefficient to 7=extremely efficient)",IQ.WEF.CUST.XQ
"Business extent of disclosure index (0=less disclosure to 10=more disclosure)",IC.BUS.DISC.XQ
"Cash surplus/deficit (% of GDP)",GC.BAL.CASH.GD.ZS
"Cash surplus/deficit (current LCU)",GC.BAL.CASH.CN
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
"Cause of death, by injury (% of total)",SH.DTH.INJR.ZS
"Cause of death, by non-communicable diseases (% of total)",SH.DTH.NCOM.ZS
"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS
"Central government debt, total (current LCU)",GC.DOD.TOTL.CN
"Cereal production (metric tons)",AG.PRD.CREL.MT
"Cereal yield (kg per hectare)",AG.YLD.CREL.KG
"Changes in inventories (constant LCU)",NE.GDI.STKB.KN
"Changes in inventories (current LCU)",NE.GDI.STKB.CN
"Changes in inventories (current US$)",NE.GDI.STKB.CD
"Charges for the use of intellectual property, payments (BoP, current US$)",BM.GSR.ROYL.CD
"Charges for the use of intellectual property, receipts (BoP, current US$)",BX.GSR.ROYL.CD
"Chemicals (% of value added in manufacturing)",NV.MNF.CHEM.ZS.UN
"Child employment in agriculture (% of economically active children ages 7-14)",SL.AGR.0714.ZS
"Child employment in agriculture, female (% of female economically active children ages 7-14)",SL.AGR.0714.FE.ZS
"Child employment in agriculture, male (% of male economically active children ages 7-14)",SL.AGR.0714.MA.ZS
"Child employment in manufacturing (% of economically active children ages 7-14)",SL.MNF.0714.ZS
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",SL.MNF.0714.FE.ZS
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",SL.MNF.0714.MA.ZS
"Child employment in services (% of economically active children ages 7-14)",SL.SRV.0714.ZS
"Child employment in services, female (% of female economically active children ages 7-14)",SL.SRV.0714.FE.ZS
"Child employment in services, male (% of male economically active children ages 7-14)",SL.SRV.0714.MA.ZS
"Children (0-14) living with HIV",SH.HIV.0014
"Children in employment, female (% of female children ages 7-14)",SL.TLF.0714.FE.ZS
"Children in employment, male (% of male children ages 7-14)",SL.TLF.0714.MA.ZS
"Children in employment, self-employed (% of children in employment, ages 7-14)",SL.SLF.0714.ZS
"Children in employment, study and work (% of children in employment, ages 7-14)",SL.TLF.0714.SW.ZS
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",SL.TLF.0714.SW.FE.ZS
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",SL.TLF.0714.SW.MA.ZS
"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",SL.FAM.0714.ZS
"Children in employment, wage workers (% of children in employment, ages 7-14)",SL.WAG.0714.ZS
"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS
"Children in employment, work only, female (% of female children in employment, ages 7-14)",SL.TLF.0714.WK.FE.ZS
"Children in employment, work only, male (% of male children in employment, ages 7-14)",SL.TLF.0714.WK.MA.ZS
"Children out of school, primary",SE.PRM.UNER
"Children out of school, primary, female",SE.PRM.UNER.FE
"Children out of school, primary, male",SE.PRM.UNER.MA
"Children with fever receiving antimalarial drugs (% of children under age 5 with fever)",SH.MLR.TRET.ZS
"Claims on central government (annual growth as % of broad money)",FM.AST.CGOV.ZG.M3
"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS
"Claims on other sectors of the domestic economy (% of GDP)",FS.AST.DOMO.GD.ZS
"Claims on other sectors of the domestic economy (annual growth as % of broad money)",FM.AST.DOMO.ZG.M3
"Claims on private sector (annual growth as % of broad money)",FM.AST.PRVT.ZG.M3
"CO2 emissions (kg per 2005 PPP $ of GDP)",EN.ATM.CO2E.PP.GD.KD
"CO2 emissions (kg per 2005 US$ of GDP)",EN.ATM.CO2E.KD.GD
"CO2 emissions (kg per PPP $ of GDP)",EN.ATM.CO2E.PP.GD
"CO2 emissions (kt)",EN.ATM.CO2E.KT
"CO2 emissions (metric tons per capita)",EN.ATM.CO2E.PC
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS
"CO2 emissions from electricity and heat production, total (million metric tons)",EN.CO2.ETOT.MT
"CO2 emissions from gaseous fuel consumption (% of total)",EN.ATM.CO2E.GF.ZS
"CO2 emissions from gaseous fuel consumption (kt)",EN.ATM.CO2E.GF.KT
"CO2 emissions from liquid fuel consumption (% of total)",EN.ATM.CO2E.LF.ZS
"CO2 emissions from liquid fuel consumption (kt)",EN.ATM.CO2E.LF.KT
"CO2 emissions from manufacturing industries and construction (% of total fuel combustion)",EN.CO2.MANF.ZS
"CO2 emissions from manufacturing industries and construction (million metric tons)",EN.CO2.MANF.MT
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS
"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (million metric tons)",EN.CO2.OTHX.MT
"CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.BLDG.ZS
"CO2 emissions from residential buildings and commercial and public services (million metric tons)",EN.CO2.BLDG.MT
"CO2 emissions from solid fuel consumption (% of total)",EN.ATM.CO2E.SF.ZS
"CO2 emissions from solid fuel consumption (kt)",EN.ATM.CO2E.SF.KT
"CO2 emissions from transport (% of total fuel combustion)",EN.CO2.TRAN.ZS
"CO2 emissions from transport (million metric tons)",EN.CO2.TRAN.MT
"CO2 intensity (kg per kg of oil equivalent energy use)",EN.ATM.CO2E.EG.ZS
"Coal rents (% of GDP)",NY.GDP.COAL.RT.ZS
"Combustible renewables and waste (% of total energy)",EG.USE.CRNW.ZS
"Combustible renewables and waste (metric tons of oil equivalent)",EG.USE.CRNW.KT.OE
"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD
"Commercial service exports (current US$)",TX.VAL.SERV.CD.WT
"Commercial service imports (current US$)",TM.VAL.SERV.CD.WT
"Commitments, IBRD (COM, current US$)",DT.COM.MIBR.CD
"Commitments, IDA (COM, current US$)",DT.COM.MIDA.CD
"Commitments, official creditors (COM, current US$)",DT.COM.OFFT.CD
"Commitments, private creditors (COM, current US$)",DT.COM.PRVT.CD
"Commitments, public and publicly guaranteed (COM, current US$)",DT.COM.DPPG.CD
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS
"Communications, computer, etc. (% of service imports, BoP)",BM.GSR.CMCP.ZS
"Community health workers (per 1,000 people)",SH.MED.CMHW.P3
"Compensation of employees (% of expense)",GC.XPN.COMP.ZS
"Compensation of employees (current LCU)",GC.XPN.COMP.CN
"Completeness of birth registration (%)",SP.REG.BRTH.ZS
"Completeness of birth registration, rural (%)",SP.REG.BRTH.RU.ZS
"Completeness of birth registration, urban (%)",SP.REG.BRTH.UR.ZS
"Completeness of infant death reporting (% of reported infant deaths to estimated infant deaths)",SP.DTH.INFR.ZS
"Completeness of total death reporting (% of reported total deaths to estimated total deaths)",SP.DTH.REPT.ZS
"Computer, communications and other services (% of commercial service exports)",TX.VAL.OTHR.ZS.WT
"Computer, communications and other services (% of commercial service imports)",TM.VAL.OTHR.ZS.WT
"Concessional debt (% of total external debt)",DT.DOD.ALLC.ZS
